ID;share_of_households_with_air_conditioning;homeownership_rate;average_household_age;share_of_population_under_4_years_old;share_of_population_over_64_years_old;unemployment_rate;share_of_superior_edu;percentage_overcrowded_households;building_state_of_conservation_index;main_heating_energy_source_share_of_electricity;main_heating_energy_source_share_of_wood_coal_and_other_solid_fuels;main_heating_energy_source_share_of_petroleum_diesel_and_other_liquid_fuels;main_heating_energy_source_share_of_gas;main_heating_energy_source_share_of_other
182122;0,063157895;0,918421053;1972,224876;0,032520325;0,257113821;0,124031008;0,069105691;7,37;4,737430168;0,107894737;0,747368421;0,081578947;0,044736842;0,002631579
182127;0,02862254;0,95706619;1970,758393;0,025554808;0,3066577;0,094812165;0,025554808;4,155;4,651162791;0,082289803;0,817531306;0,069767442;0,003577818;0,001788909
182128;0,06504065;0,972899729;1969,084371;0,032943677;0,283740701;0,109289617;0,037194474;6,22;4,529239766;0,040650407;0,913279133;0,027100271;0,002710027;0
182129;0,08566108;0,918063315;1974,181081;0,038404727;0,282865583;0,120629371;0,029542097;6,595;4,652173913;0,087523277;0,793296089;0,08566108;0,00744879;0,005586592
182130;0,011961722;0,971291866;1973,430163;0,019462465;0,288229842;0,100208768;0,02502317;9,215;3,838449111;0,023923445;0,956937799;0,011961722;0;0
182131;0,035185185;0,940740741;1972,060452;0,030178326;0,294238683;0,129893238;0,050068587;8,47;4,566513761;0,05;0,844444444;0,090740741;0,001851852;0,001851852
182132;0,119023398;0,766531027;1973,630245;0,044249513;0,216179337;0,098221504;0,10662768;7,995;4,709500275;0,278738555;0,468463886;0,062563581;0,160732452;0,000508647
182133;0,057996485;0,915492958;1973,794253;0,04045853;0,281186784;0,087947883;0,057316251;4,265;4,767251462;0,082601054;0,83831283;0,063268893;0,003514938;0
182203;0;0,915422886;1961,53726;0,034798535;0,250915751;0,054054054;0,014652015;18,91;4,903846154;0,064676617;0,900497512;0,034825871;0;0
182204;0,028571429;0,959183673;1970,525413;0,015652174;0,429565217;0,087719298;0,071304348;1,63;4,922391858;0,053061224;0,710204082;0,191836735;0,008163265;0
182205;0,00591716;0,955621302;1979,194126;0,039215686;0,252723312;0,15282392;0,021786492;7,69;4,856733524;0,017751479;0,911242604;0,065088757;0;0
182206;0,014962594;0,932668329;1978,245953;0,042380523;0,247069432;0,193154034;0,023444545;10,47;4,531755915;0,027431421;0,877805486;0,059850374;0,004987531;0
182208;0,017264276;0,784860558;1979,46547;0,037968442;0,236686391;0,124851367;0,080374753;4,57;4,808304498;0,136786189;0,66002656;0,152722444;0,034528552;0
182301;0,105074821;0,739102147;1984,567906;0,055744232;0,1395948;0,125615186;0,141234337;5,79;4,74884308;0,323357189;0,405335068;0,135328562;0,100845804;0,000650618
182304;0,025547445;0,899543379;1980,138817;0,036101083;0,226124056;0,14052795;0,042008533;7,12;4,674628793;0,116788321;0,696167883;0,135948905;0,005474453;0,000912409
182305;0,01981982;0,935135135;1979,060916;0,019741321;0,293396869;0,136082474;0,042205582;5,05;4,619373777;0,030630631;0,846846847;0,081081081;0,005405405;0
182306;0,083990981;0,847065463;1986,218653;0,054726368;0,156616915;0,135607676;0,104477612;5,92;4,67475292;0,175873732;0,573844419;0,182638106;0,046786922;0,003382187
182307;0,052742616;0,924050633;1979,499351;0,022997033;0,216617211;0,147208122;0,06305638;7,38;4,859922179;0,078059072;0,767932489;0,122362869;0,004219409;0,004219409
